Country_Name,Country_Code,Indicator_Name,Indicator_Code,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Arab World,ARB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,1347.613376,1313.028057,1650.421693,1744.169288,2086.866087,2910.388829,4794.995845,5404.027126
Arab World,ARB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,114.8183832,139.0059772,248.8605712,351.14725
Arab World,ARB,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,,,,,,,,,0.197711731,0.604515373,1.291118091,1.282231648
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,262.8674185,836.2108098,2052.961536,1606.759809,2009.420349,2073.142076,2606.076582,3765.820496,5934.290684,6387.660615
Arab World,ARB,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,,,,,,58.81122028,81.10773512,76.41140991,82.78059492,83.97070084,87.56237833,84.54701202
Arab World,ARB,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,,,,,,,,,75.10318297,78.15579007,87.90934616,84.50971388
Arab World,ARB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,53.99190391,77.35745785,77.05365449,81.27262823,82.05264832,86.8927484,84.23217373
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.54690889,49.49647844,52.26421043,55.27798846,58.34502343,61.67681575,64.35157697,66.19609985,67.80059112,69.1646828,70.34991623,71.24957141
Arab World,ARB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,,,,,,,80.48828009,69.59862697,60.07328476,51.15562655,42.67635229,37.5512591
Arab World,ARB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,78.74928993,81.11769354,84.66505021,87.93683192
Arab World,ARB,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,,,,,,,,,73.63825509,75.73263338,79.2601003,82.35000122
Arab World,ARB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,,,,
Arab World,ARB,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,,,,,,,,,45.1365698,46.7416192,50.1548329,52.5445507
Arab World,ARB,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,,,,,,,,,,,,69.49061791
Caribbean small states,CSS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,1897.671573,2216.054639,2347.622206,3001.706817,4348.195969,5865.732876,7381.422335,8347.315354
Caribbean small states,CSS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,257.697679,352.7860098,488.2207928,575.9815567
Caribbean small states,CSS,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,,,,,,,,,4.489222024,6.997052442,13.05949805,4.969444285
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,448.2565239,580.94515,755.1430154,1485.167338,2461.64914,2722.8412,2997.32439,3507.904766,5252.809735,7253.537344,9086.894793,9939.801206
Caribbean small states,CSS,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,,,,,29.62776615,69.95909091,85.32638426,88.88389551,89.80517814,95.36529585,93.83955457,91.62022074
Caribbean small states,CSS,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,,,,,,,,,,95.36529585,92.87636044,90.63375052
Caribbean small states,CSS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,55.28614904,74.85860864,86.72580974,88.76282623,88.94577008,91.30464376,91.30875223
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.74629519,64.40772125,65.64880861,66.87568867,68.08672611,69.12268718,70.19763108,70.93752533,71.41918539,72.05570842,72.67939477,73.27301598
Caribbean small states,CSS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,,,,,,,34.87066419,30.2617279,26.68043488,24.03381463,21.65641647,18.94872831
Caribbean small states,CSS,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,92.24059462,93.28920757,93.6705521,94.33399163
Caribbean small states,CSS,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,,,,,,,,,83.30574436,84.96715226,86.95770563,88.59483667
Caribbean small states,CSS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,,,,
Caribbean small states,CSS,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,,,,,,,,,,,,
Caribbean small states,CSS,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,,,,,,,,,,,71.06239986,76.20096363
Central Europe and the Baltics,CEB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,2876.481203,3182.268727,6715.091577,10069.27364,10068.60869
Central Europe and the Baltics,CEB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,221.140527,522.5036194,854.9496399,815.5149089
Central Europe and the Baltics,CEB,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,,,,,,,,,0.003373761,0.296006453,0.32871713,0.217827257
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,2370.222309,3572.647466,3942.43818,8347.82284,12576.04184,12493.71382
Central Europe and the Baltics,CEB,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,,,,,,95.18655605,96.61449537,96.26579895,97.48151487,97.80594171,97.19448887,95.1802865
Central Europe and the Baltics,CEB,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,,,,,,,,,98.11186215,97.88618771,97.55793279,94.2716544
Central Europe and the Baltics,CEB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,92.21499415,94.85797403,95.07074146,96.70396728,97.4476427,97.11796681,94.10869686
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.82138864,69.2769976,69.44695506,70.17440869,69.8905098,70.31288347,70.65633134,71.02542143,72.71972472,73.83830018,75.29396578,76.57187776
Central Europe and the Baltics,CEB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,,,,,,,19.39519495,16.24786298,12.1947113,9.910224153,7.340765696,5.704510493
Central Europe and the Baltics,CEB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,98.43262828,98.6599053,99.41212446
Central Europe and the Baltics,CEB,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,,,,,,,,,91.47740207,89.51875311,91.79510406,93.93556286
Central Europe and the Baltics,CEB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,,87.46352126,90.11264669,92.94637466
Central Europe and the Baltics,CEB,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,,,,,,,,,78.32755622,75.49252953,79.71203364,84.39099847
Central Europe and the Baltics,CEB,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,,,,,,,,,,,,
Early-demographic dividend,EAR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,201.001511,378.9387005,634.9794433,649.813235,734.8459759,938.1211949,1114.952492,1448.298337,2451.757348,2796.638434
Early-demographic dividend,EAR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,66.23312938,87.02502344,145.2564291,167.4184748
Early-demographic dividend,EAR,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,,,,,,,,,0.725236464,1.228592398,2.052976517,2.16865735
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,154.8052939,189.6710758,223.741933,451.4571656,815.864697,784.7014238,896.5967667,1108.571265,1336.999304,1780.271725,2944.925795,3297.405256
Early-demographic dividend,EAR,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,,,,,16.72303531,29.68849515,69.60107088,72.1459663,68.77665889,73.77108748,80.76870778,84.50441423
Early-demographic dividend,EAR,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,,,,,,,,,,44.70280496,64.24090797,84.27682478
Early-demographic dividend,EAR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,24.05841159,62.80988684,71.32704696,67.92085471,74.54313843,81.84273468,85.70251101
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.09089809,48.02841982,50.7493711,53.44275741,56.07816367,58.29198522,60.49126276,62.619319,64.40307733,66.10620888,68.05602106,69.74850615
Early-demographic dividend,EAR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,,,,,,,108.8929909,94.44044024,78.81799548,64.05945524,51.31789866,40.27235301
Early-demographic dividend,EAR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,79.96210961,83.20954118,86.47918009,89.57131851
Early-demographic dividend,EAR,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,,,,,,,,,38.07715233,46.5320653,54.72078276,62.84995559
Early-demographic dividend,EAR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,,,,
Early-demographic dividend,EAR,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,,,,,,,,,,,,
Early-demographic dividend,EAR,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,,,,,,,,,,,,59.3704909
East Asia & Pacific,EAS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,274.2502023,552.9579832,958.0235336,1156.293652,2113.264017,3437.654998,3190.29918,3817.511705,5968.690967,7489.273289
East Asia & Pacific,EAS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,239.2280993,292.3080253,479.2070802,601.8621393
East Asia & Pacific,EAS,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,,,,,,,,,0.161847365,0.422844832,0.626608777,0.60613103
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,147.2278544,197.5694532,315.6654448,647.046684,1162.767816,1399.47602,2599.118654,4276.224355,4052.343379,4848.234538,7697.992805,9598.278555
East Asia & Pacific,EAS,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,,,,,,65.15449733,90.45660943,78.95285704,83.49841134,85.41404448,93.37906268,92.62324738
East Asia & Pacific,EAS,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,,,,,,,,,59.3792873,78.60342577,93.28219026,92.5268442
East Asia & Pacific,EAS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,69.07298812,89.44370617,78.96346558,83.74814453,86.41394133,93.15250165,94.46363696
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.41589906,53.11545966,59.73985058,63.51471196,66.14415604,67.90408529,68.92754337,69.79630149,71.17191891,72.62462075,74.0129969,75.39255688
East Asia & Pacific,EAS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,,,,,,,56.7,49,39.4,29.1,21.9,17
East Asia & Pacific,EAS,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,81.19956194,85.22222617,88.77745513,91.83310993
East Asia & Pacific,EAS,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,,,,,,,,,60.76044364,67.6220979,74.75001305,81.45192317
East Asia & Pacific,EAS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,,,,
East Asia & Pacific,EAS,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,,,,,,,,,31.9141489,37.55736953,47.23628112,58.50615407
East Asia & Pacific,EAS,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,102.1557495,168.6819444,214.888195,293.6225164,348.1075719,654.183074,788.9008056,1292.462779,3009.525255,4957.21797
East Asia & Pacific (excluding high income),EAP,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,38.08612966,64.6126645,160.4452317,308.2139015
East Asia & Pacific (excluding high income),EAP,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,,,,,,,,,0.17796826,0.465727559,0.68958407,0.663336665
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,89.67743491,96.87083003,113.4607648,196.6780314,275.4770911,355.139726,413.0135859,765.0059888,956.6720981,1640.960056,4005.488963,6522.674364
East Asia & Pacific (excluding high income),EAP,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,,,,,,64.05067226,90.68731126,78.52452212,83.07443707,84.65172436,93.24088263,92.41120483
East Asia & Pacific (excluding high income),EAP,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,,,,,,,,,58.48333817,78.05875201,93.28687188,92.43355602
East Asia & Pacific (excluding high income),EAP,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,68.41932994,89.95924886,77.90759412,82.94389581,85.66565665,93.03560116,94.35095254
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.613242,50.71338457,58.19554176,62.2030763,65.06898345,66.87196543,67.88613833,68.77409377,70.13617334,71.64072954,73.06626441,74.49622762
East Asia & Pacific (excluding high income),EAP,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,,,,,,,59.70493504,52.01740714,41.89169579,30.71113083,23.06559649,17.87485045
East Asia & Pacific (excluding high income),EAP,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,79.63633592,83.70247849,87.64529303,91.02498941
East Asia & Pacific (excluding high income),EAP,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,,,,,,,,,56.21602221,64.00997669,71.97790244,79.46538705
East Asia & Pacific (excluding high income),EAP,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,,,,,,,,,28.26034831,35.27599597,48.12927113,63.91478799
East Asia & Pacific (excluding high income),EAP,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,103.2970002,170.5772624,217.2768,296.8726581,351.9071055,661.3800173,797.497171,1306.532644,3041.895921,5009.864877
East Asia & Pacific (IDA & IBRD countries),TEA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,38.09438909,64.6225397,160.4558701,308.2289711
East Asia & Pacific (IDA & IBRD countries),TEA,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,,,,,,,,,0.180014907,0.46919272,0.694219,0.670122449
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),NY.GDP.PCAP.CD,90.65099482,97.93095532,114.7081228,198.8529165,278.4901618,359.0076233,417.4480862,773.2860428,966.9264267,1658.639316,4048.335546,6591.704671
East Asia & Pacific (IDA & IBRD countries),TEA,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,,,,,,64.16337054,90.61715067,78.73884279,83.43567112,84.72917967,93.24366389,92.36913833
East Asia & Pacific (IDA & IBRD countries),TEA,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,,,,,,,,,58.48333817,77.86528306,93.29018414,92.39175151
East Asia & Pacific (IDA & IBRD countries),TEA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,68.81128356,89.88210298,78.06854419,83.00985853,85.52402736,92.96673547,94.30817979
East Asia & Pacific (IDA & IBRD countries),TEA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.53974029,50.6671582,58.17645606,62.1850064,65.05445016,66.85864027,67.86041379,68.80296307,70.19841525,71.68224165,73.1104644,74.53395213
East Asia & Pacific (IDA & IBRD countries),TEA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,,,,,,,59.88839037,51.72750679,41.63677411,30.68197691,22.99076623,17.83643314
East Asia & Pacific (IDA & IBRD countries),TEA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,79.38437826,83.50846852,87.5266239,90.97246131
East Asia & Pacific (IDA & IBRD countries),TEA,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,,,,,,,,,56.21625673,63.86705208,71.90184001,79.43858192
East Asia & Pacific (IDA & IBRD countries),TEA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,,,,,,,,,28.26034831,35.27599597,48.12927113,63.91478799
East Asia & Pacific (IDA & IBRD countries),TEA,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,,,,,,,,,,,,
